number,name,lng,lat,region
7610,Peter Minturn Goldsmith School Limited,174.7496043,-36.868986,Auckland Region
7624,Australasian Institute of Applied Studies,174.7615391,-36.8874942,Auckland Region
7625,Seafood Training Services Limited,172.6491965,-43.5332235,Canterbury Region
7626,Horizons Unlimited Limited,172.707637,-43.559715,Canterbury Region
7627,Learning Innovations Limited,176.8409801,-39.643434,Hawke's Bay Region
7637,College of Law New Zealand Limited,174.7697487,-36.8457078,Auckland Region
7638,Techtorium NZ Institute of Info Tech,174.7783158,-36.8684458,Auckland Region
7639,"ABACUS Counselling, Training and Supervision Ltd",174.73881,-36.8555449,Auckland Region
7647,New Zealand School of Education Limited,174.6848499,-36.9059013,Auckland Region
7648,Holistic Health Training Limited,173.0414827,-41.2670977,Tasman Region
7653,New Zealand College of Business,-104.9973109,39.7309303,Canterbury Region
7657,LearningWorks,175.2778984,-37.784931,Waikato Region
7661,L3 Airline Academy (Hamilton),175.32888,-37.868026,Waikato Region
7664,Concordia Institute of Business Limited,174.7631184,-36.8454363,Auckland Region
7666,ProAction Medical Limited,174.765412,-36.84311,Auckland Region
7670,SPELD NZ,173.8766452,-35.936864,Northland Region
7674,Responsive Trade Education Ltd,175.3085807,-37.7439819,Waikato Region
7677,SIS Training & Consulting Ltd,173.2241513,-41.3265235,Nelson Region
7682,AGI Education Limited,174.7671923,-36.8476481,Auckland Region
7683,Shakti Education & Training Advisory Co,174.6223617,-36.8602668,Auckland Region
7687,Avatar Institute of Learning,174.1397763,-39.035489,Taranaki Region
7694,Queenstown Resort College (QRC),168.6636898,-45.0329176,Otago Region
7695,New Zealand Sports Academy,176.2113321,-38.130763,Bay of Plenty Region
7699,Dairy Training Limited,175.356595,-37.7796791,Waikato Region
7703,Auckland Rugby Union,174.7447562,-36.8749538,Auckland Region
7713,IGQ Golf College Limited,172.6143457,-43.4715808,Canterbury Region
7716,ProDriver Training Limited,171.2471935,-44.3548657,Canterbury Region
7722,Leadership Management Australasia (NZ) Limited,173.0867467,-41.2529142,Tasman Region
7801,Quality Plus Limited,172.5397473,-43.6617411,Canterbury Region
7804,Fruition Horticulture (BOP) Limited,176.1679884,-37.6885851,Bay of Plenty Region
7805,Tasman International Academies,174.7649031,-36.8506384,Auckland Region
7806,Eagle Flight Training Limited,174.9764124,-37.0324238,Auckland Region
7810,First Training Limited,174.6604897,-36.9069864,Auckland Region
7811,PassRite Driving Academy Limited,174.8072661,-36.9197938,Auckland Region
7817,Edvance Limited,176.1581409,-37.7080974,Bay of Plenty Region
7820,New Zealand Institute of Studies,174.7655396,-36.8474952,Auckland Region
7826,Wanaka Helicopters Limited,169.2454607,-44.72434,Otago Region
7832,National Technology Institute Limited,174.7631184,-36.8454363,Auckland Region
7837,Industry Training Solutions Limited,175.6143482,-40.3544692,Manawatu-Wanganui Region
7838,Youthline Auckland Charitable Trust,174.7509461,-36.8597006,Auckland Region
7841,Vet Nurse Plus Limited,174.9025989,-36.959337,Auckland Region
7846,The Learning Wave Limited,174.750127,-36.8471415,Auckland Region
7850,New Zealand Institute of Education 2007 Limited,174.7689686,-36.7882463,Auckland Region
7851,Bernard & Ya Holdings Limited,174.7603552,-36.8463212,Auckland Region
7855,AA Solutions Limited,174.9496887,-36.9061924,Auckland Region
7856,Site Safe New Zealand Incorporated,174.7778045,-41.2904816,Wellington Region
7862,Chivalry Training Providers,174.7653115,-36.8666147,Auckland Region
7867,Ashburton Learning Centre Inc.,171.7502439,-43.8924387,Canterbury Region
7871,Maria Montessori Education Foundation,174.7599799,-36.8693928,Auckland Region
7874,Stellaris PTE Ltd,176.1436478,-37.7144608,Bay of Plenty Region
7875,Thoughtplanters Limited,174.75167,-36.873117,Auckland Region
7877,NZ Heavy Engineering Research Association,174.8858707,-36.9897078,Auckland Region
7880,QEC Ltd,175.4694926,-37.8939787,Waikato Region
7881,Educhem Limited,174.9141222,-37.2089534,Auckland Region
7882,Fire Rescue and First Response Ltd,174.6995906,-36.6017448,Auckland Region
7885,St John's Theological College,174.8412717,-36.8735597,Auckland Region
7901,Links Training (2008) Limited,175.6222781,-40.3471108,Manawatu-Wanganui Region
7902,Evolution School of Beauty & Massage,174.3232366,-35.7277265,Northland Region
7903,Independent Verification Services Limited,175.3104713,-37.7784733,Waikato Region
7907,A1 First Aid (2009) Limited,174.6327822,-36.8637469,Auckland Region
7908,Peak Safety Training Limited,176.2532762,-38.1621312,Bay of Plenty Region
7909,Industry Training Works Ltd,175.8705786,-38.2179652,Waikato Region
7911,Learn Plus Limited,174.7807802,-36.9096071,Auckland Region
7916,Triple One Care,173.2123504,-41.3257571,Nelson Region
7921,Pacific Coast Technical Institute,176.1898548,-37.6553817,Bay of Plenty Region
7927,Search and Rescue Institute New Zealand (SARINZ) Limited,172.5667387,-43.4885359,Canterbury Region
7929,New Zealand Dental Association Incorporated,174.81477,-36.899576,Auckland Region
7930,Kiwi Institute of Training and Education Limited,174.7655396,-36.8474952,Auckland Region
7932,Abacus Institute of Studies,172.629933,-43.54025,Canterbury Region
7933,NZ Institute of Business & Technology,172.4677741,-43.6436854,Canterbury Region
7937,Fire and Safety Training Limited,171.2471935,-44.3548657,Canterbury Region
7940,Auckland English Academy,174.7652002,-36.8496473,Auckland Region
7944,VisionWest Community Trust,174.6487111,-36.917864,Auckland Region
7945,Bakels Training Organisation,174.8237527,-36.9194267,Auckland Region
7946,Professional IQ College,174.7650025,-36.8503776,Auckland Region
7948,ACT Safety Limited,174.8544094,-36.9447522,Auckland Region
7956,The Whanganui Learning Centre Trust,175.047602,-39.9286424,Manawatu-Wanganui Region
7957,Coromandel Outdoor Language Centre,175.7092841,-36.8028634,Waikato Region
7963,Strategi Institute Limited,174.7103465,-36.7334128,Auckland Region
7978,TriEx,172.6075169,-43.5325198,Canterbury Region
7982,The Learning Place Limited,172.5903401,-43.5279611,Canterbury Region
7983,NZ Mines Rescue Service,171.2474738,-42.3994897,West Coast Region
7999,New Zealand Sports Turf Institute Limited,175.6251378,-40.3976309,Manawatu-Wanganui Region
8020,GETraining,174.8087301,-41.2297678,Wellington Region
8021,New Zealand Academic and Learning Institute,174.7706816,-36.7893285,Auckland Region
8022,Bodhi Ltd,174.6502017,-36.9240814,Auckland Region
8025,Ringa Atawhai Matauranga Limited,174.3166154,-35.729725,Northland Region
8026,Air Hawkes Bay Limited,176.7664067,-39.6493168,Hawke's Bay Region
8028,Franklin Institute of Agri-Technology,174.8081389,-37.1659941,Auckland Region
8029,Creative Learning Solutions Ltd,174.7661673,-36.8488969,Auckland Region
8031,Christchurch Helicopters,172.5292463,-43.4816097,Canterbury Region
8035,Adventure Works Limited,174.7108073,-36.8777591,Auckland Region
8036,Enterprise Central Network Incorporated,175.2810182,-37.7888751,Waikato Region
8047,ALC,173.2136502,-41.3228327,Nelson Region
8067,English Language Partners New Zealand Trust,174.7735876,-41.2747611,Wellington Region
8069,Oceania Career Academy,174.8523612,-36.9577122,Auckland Region
8074,New Zealand International Commercial Pilot Academy Limited,175.6052993,-40.2557841,Manawatu-Wanganui Region
8088,Steiner Education Development Trust Ltd,172.7204843,-43.6347591,Canterbury Region
8089,The Palace Dance Studio,174.8147928,-36.9092421,Auckland Region
8091,Taranaki Outdoor Pursuits and Educational Centre (TSB TOPEC),174.1158683,-39.1048755,Taranaki Region
8092,Brittain's - Lifelong Choices,174.07672,-39.0557453,Taranaki Region
8093,P&T Global Education,174.9538856,-41.2711713,Wellington Region
8095,Tana Training,174.8142612,-37.1945182,Auckland Region
8098,Eastbay REAP Society Incorporated,176.9930645,-37.9545049,Bay of Plenty Region
8158,Multicultural Centre for Learning and Support Services,174.7740011,-41.2980642,Wellington Region
8167,Naturopathic College of N Z Ltd,174.0807575,-39.0556286,Taranaki Region
8174,SAE Institute,174.777721,-36.8535351,Auckland Region
8192,Media Design School,174.7642781,-36.8480623,Auckland Region
8199,Vertical Horizonz New Zealand Limited,176.1290813,-37.7249673,Bay of Plenty Region
8204,Active Institute,174.8680655,-36.9886779,Auckland Region
8209,ProMed,171.295416,-44.2410502,Canterbury Region
8217,Actions for Survival Training Limited,174.8720757,-37.0020234,Auckland Region
8224,PORSE Education & Training (NZ) Limited,176.8335796,-39.6326157,Hawke's Bay Region
8229,Blueprint Centre For Learning,174.7580061,-36.8658838,Auckland Region
8237,Besafe Training Limited,174.7381332,-36.6324154,Auckland Region
8241,Stainless Steel & Aluminium Welding Academy Ltd,172.6527544,-43.5464273,Canterbury Region
8247,Waikato Institute for Leisure and Sport Studies,175.3185831,-37.7811813,Waikato Region
8251,City First Aid Training Limited,172.7631181,-43.5762847,Canterbury Region
8252,MSL Training Limited,174.8790102,-36.9850328,Auckland Region
8255,Ecoquest Education Foundation,175.2997791,-37.0491451,Waikato Region
8256,BETAA Consultants Limited,175.2599122,-37.7541842,Waikato Region
8260,Fire and Emergency Training Solutions Limited,175.0481148,-41.1312498,Wellington Region
8264,IceNZ Ltd,175.3863378,-40.0914417,Manawatu-Wanganui Region
8265,Wellcare Education Limited,174.778145,-41.2924192,Wellington Region
8270,New Zealand Welding School,176.2220135,-37.6779229,Bay of Plenty Region
8272,W. A. Consulting Training Limited,176.2538722,-38.1408062,Bay of Plenty Region
8277,The International Travel College of New Zealand Limited,174.7632778,-36.8568407,Auckland Region
8282,Training In Action Ltd,175.2075984,-37.9878389,Waikato Region
8285,Pathways College of Bible & Mission,174.8095951,-36.9040457,Auckland Region
8292,Central Otago Rural Education Activities Programme,169.391892,-45.2550727,Otago Region
8297,Waikato Institute of Education,175.2774036,-37.7845638,Waikato Region
8298,Genesis Power Private Training Establishment,175.151404,-37.5294818,Waikato Region
8325,Eastwest College of Intercultural Studies,175.3016658,-37.671311,Waikato Region
8327,NZ Graduate School of Education,172.6239186,-43.5169783,Canterbury Region
8329,JTP Consultants Ltd t/a Te Kotahitanga Training,174.8697864,-36.9604113,Auckland Region
